,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
21538,62532,120.0,61.4,56250.0,29629.0,0.0
21539,62533,836.0,47.3,52250.0,25110.0,116.0
21540,62534,1384.0,41.9,53315.0,24262.0,163.0
21541,62535,3289.0,41.5,79205.0,45912.0,35.0
21542,62536,840.0,50.0,82981.0,43424.0,91.0
21543,62537,51.0,54.5,-666666666.0,20612.0,14.0
21544,62538,347.0,51.1,45909.0,22969.0,32.0
21545,62539,1428.0,38.7,68102.0,28678.0,97.0
21546,62540,1621.0,37.7,43600.0,21669.0,319.0
21547,62541,30.0,55.1,-666666666.0,32893.0,0.0
21548,62543,497.0,42.6,52250.0,26837.0,61.0
21549,62544,1616.0,45.6,66161.0,41318.0,81.0
21550,62545,1186.0,43.8,64732.0,29617.0,134.0
21551,62546,1423.0,43.7,60000.0,28458.0,43.0
21552,62547,801.0,38.6,65139.0,28530.0,34.0
21553,62548,2623.0,44.9,71458.0,32568.0,102.0
21554,62549,6271.0,42.1,69342.0,34312.0,184.0
21555,62550,2708.0,44.7,63013.0,28389.0,186.0
21556,62551,564.0,49.1,55662.0,29512.0,50.0
21557,62553,558.0,48.1,49868.0,21495.0,24.0
21558,62554,1485.0,46.1,64643.0,30482.0,81.0
21559,62555,499.0,35.7,66250.0,28806.0,28.0
21560,62556,282.0,56.4,62625.0,27893.0,16.0
21561,62557,7111.0,44.0,47513.0,23577.0,1298.0
21562,62558,3477.0,39.5,69330.0,31542.0,325.0
21563,62560,1361.0,45.3,51917.0,23971.0,122.0
21564,62561,5409.0,42.2,62012.0,30059.0,548.0
21565,62563,5575.0,43.7,94303.0,46425.0,166.0
21566,62565,7083.0,47.6,44497.0,25309.0,826.0
21567,62567,1038.0,39.6,54135.0,27404.0,158.0
21568,62568,16094.0,44.1,49079.0,25841.0,1543.0
21569,62570,513.0,42.2,46250.0,25391.0,77.0
21570,62571,1524.0,43.2,44655.0,21090.0,199.0
21571,62572,467.0,38.8,44375.0,24432.0,49.0
21572,62573,1805.0,37.8,61563.0,25463.0,121.0
21573,62601,291.0,53.0,79531.0,44030.0,43.0
21574,62610,156.0,43.1,32813.0,16815.0,51.0
21575,62611,1178.0,42.0,65313.0,27919.0,74.0
21576,62612,1773.0,47.8,65568.0,33817.0,82.0
21577,62613,4053.0,36.8,68899.0,34572.0,332.0
21578,62615,5565.0,38.7,61657.0,29124.0,409.0
21579,62617,683.0,50.0,42083.0,24315.0,75.0
21580,62618,7597.0,37.0,43712.0,21071.0,1309.0
21581,62621,1180.0,41.2,50714.0,28065.0,253.0
21582,62622,64.0,43.6,-666666666.0,116402.0,0.0
21583,62624,504.0,50.0,45250.0,29684.0,19.0
21584,62625,703.0,57.4,90500.0,50772.0,64.0
21585,62626,7685.0,38.4,56414.0,26161.0,1070.0
21586,62627,951.0,43.2,52100.0,37243.0,97.0
21587,62628,766.0,43.9,56250.0,31203.0,133.0
21588,62629,13718.0,35.5,82118.0,35658.0,622.0
21589,62630,414.0,34.8,72250.0,29943.0,14.0
21590,62631,228.0,43.0,46375.0,23303.0,40.0
21591,62633,604.0,52.3,49821.0,28847.0,73.0
21592,62634,704.0,44.8,60833.0,35885.0,45.0
21593,62635,752.0,41.8,55000.0,27403.0,96.0
21594,62638,1335.0,40.6,66181.0,35189.0,140.0
21595,62639,323.0,64.3,52143.0,32016.0,6.0
21596,62640,3839.0,42.7,60247.0,32014.0,300.0
21597,62642,1469.0,40.1,60417.0,33156.0,97.0
21598,62643,574.0,35.3,60469.0,28142.0,11.0
21599,62644,5035.0,45.4,39563.0,23732.0,785.0
21600,62649,481.0,31.3,60341.0,22451.0,75.0
21601,62650,26858.0,39.8,47538.0,25386.0,3564.0
21602,62655,558.0,47.5,35000.0,18265.0,162.0
21603,62656,19831.0,39.5,55094.0,24169.0,1751.0
21604,62661,1339.0,50.3,59840.0,33146.0,138.0
