State,City,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount
MO,Halltown,159,32.8,19432.0,12045.0,62
MO,Hamilton,3306,38.1,50759.0,24657.0,504
MO,Hannibal,22238,38.0,41867.0,22172.0,4254
MO,Hardin,1149,34.7,60089.0,25677.0,190
MO,Harris,142,52.0,55150.0,21094.0,17
MO,Harrisburg,1619,37.7,79353.0,32398.0,83
MO,Harrisonville,14275,39.2,50570.0,25522.0,1908
MO,Hartsburg,2754,47.1,71555.0,33631.0,360
MO,Hartshorn,259,42.5,23438.0,14612.0,108
MO,Hartville,3401,41.3,32344.0,27450.0,834
MO,Harviell,1209,41.4,44738.0,22661.0,351
MO,Harwood,414,30.5,33036.0,15342.0,139
MO,Hatfield,128,56.6,33750.0,29870.0,6
MO,Hawk Point,2038,36.9,54185.0,22519.0,122
MO,Hayti,3938,32.9,24574.0,18363.0,1404
MO,Hazelwood,19748,38.1,45236.0,27324.0,2879
MO,Helena,488,55.6,50500.0,25512.0,22
MO,Henley,1493,38.5,51538.0,22782.0,195
MO,Henrietta,380,39.4,31667.0,17187.0,91
MO,Herculaneum,3812,32.6,60469.0,23803.0,335
MO,Hermann,5555,49.2,55395.0,31555.0,480
MO,Hermitage,1740,55.5,36055.0,22822.0,255
MO,Higbee,1630,47.5,43333.0,21073.0,271
MO,Higginsville,6002,41.3,54190.0,27254.0,1021
MO,High Hill,442,54.0,47778.0,26196.0,45
MO,High Ridge,16603,39.1,63231.0,28776.0,2035
MO,Highlandville,2045,43.5,46094.0,24379.0,267
MO,Hillsboro,16451,42.1,61801.0,27268.0,1765
MO,Holcomb,1208,38.2,31000.0,16161.0,345
MO,Holden,6671,43.1,51969.0,23892.0,743
MO,Holland,216,40.1,29453.0,19917.0,25
MO,Holliday,440,42.7,58438.0,28523.0,32
MO,Hollister,9267,37.7,38531.0,22402.0,1112
MO,Holt,3909,49.3,72353.0,37007.0,146
MO,Holts Summit,10425,42.4,56964.0,26638.0,793
MO,Hopkins,651,46.3,47847.0,25500.0,88
MO,Hornersville,1296,33.9,51250.0,25707.0,117
MO,House Springs,14306,38.4,60584.0,26980.0,1850
MO,Houston,4296,46.0,30496.0,19516.0,1007
MO,Houstonia,602,53.1,42857.0,32262.0,46
MO,Hughesville,1046,37.7,51696.0,20884.0,93
MO,Humansville,2920,40.8,41013.0,16490.0,754
MO,Hume,750,42.3,48542.0,25594.0,91
MO,Humphreys,175,53.5,43125.0,21996.0,15
MO,Hunnewell,390,45.8,55208.0,20089.0,39
MO,Huntsville,3071,39.0,65217.0,22537.0,218
MO,Hurdland,418,48.2,36033.0,16377.0,149
MO,Iberia,3982,34.2,42000.0,24237.0,307
MO,Imperial,26609,37.1,69224.0,28730.0,1638
MO,Independence,124114,38.474999999999994,46313.0,23613.625,19678
MO,Ionia,272,42.1,34355.0,14538.0,61
MO,Irondale,1631,31.0,49375.0,19107.0,380
MO,Ironton,3839,47.7,37059.0,21023.0,824
MO,Isabella,354,55.3,38947.0,22753.0,55
MO,Jackson,25385,37.5,58364.0,27953.0,2779
MO,Jacksonville,649,40.2,63182.0,24861.0,47
MO,Jadwin,142,65.5,35139.0,18294.0,14
MO,Jameson,334,56.1,46250.0,26469.0,85
MO,Jamesport,2373,25.0,37375.0,16566.0,519
MO,Jamestown,1266,45.0,54464.0,24429.0,75
MO,Jasper,2853,37.5,56047.0,25337.0,334
MO,Jefferson City,69323,37.75,53928.5,27038.5,8210
MO,Jerico Springs,579,52.4,57500.0,33902.0,102
MO,Jonesburg,1604,52.4,40552.0,27974.0,150
MO,Joplin,73296,38.099999999999994,44720.0,25995.0,11421
MO,Kahoka,3449,47.5,43878.0,25959.0,563
MO,Kaiser,712,50.7,38050.0,24468.0,53
MO,Kansas City,564633,36.94772727272727,54782.27272727273,30653.75,90709
MO,Kearney,14595,40.4,81204.0,32201.0,424
MO,Kelso,132,49.3,50114.0,30380.0,9
MO,Kennett,12492,41.2,33378.0,20377.0,3214
MO,Kewanee,171,53.2,23125.0,16089.0,97
MO,Keytesville,880,51.9,34402.0,18993.0,155
MO,Kidder,545,57.9,35515.0,25661.0,24
MO,Kimberling City,4747,58.8,52118.0,31445.0,385
MO,King City,1601,45.4,41475.0,21422.0,354
MO,Kingdom City,985,28.7,56484.0,29434.0,88
MO,Kingston,686,44.9,38421.0,21739.0,62
MO,Kingsville,3028,45.1,65063.0,32053.0,132
MO,Kirbyville,2613,36.6,48750.0,20774.0,235
MO,Kirksville,21513,24.9,37533.0,21864.0,5269
MO,Kissee Mills,1055,59.9,29383.0,18185.0,330
MO,Knob Noster,5406,30.9,49972.0,24989.0,543
MO,Knox City,586,42.1,41296.0,21454.0,99
MO,Koshkonong,1340,42.0,29079.0,19043.0,268
MO,La Belle,1273,39.0,37917.0,18610.0,242
MO,La Grange,1419,44.4,55781.0,26309.0,222
MO,La Monte,1968,33.4,47266.0,20889.0,275
MO,La Plata,2331,42.6,41302.0,21392.0,301
MO,La Russell,677,45.9,44924.0,26333.0,116
MO,Labadie,3039,37.6,60992.0,29895.0,133
MO,Laclede,684,47.8,55313.0,26376.0,23
MO,Laddonia,1145,51.2,33304.0,22220.0,156
MO,Lake Ozark,6596,48.4,51080.0,28278.0,1026
MO,Lake Saint Louis,23625,36.2,91310.0,40216.0,859
MO,Lamar,8316,39.8,40218.0,24606.0,2067
MO,Lampe,1751,56.0,56068.0,30888.0,69
MO,Lanagan,489,40.1,22292.0,13470.0,146
MO,Lancaster,1435,33.6,35313.0,17337.0,366
MO,Laredo,429,52.4,41667.0,24725.0,47
MO,Latham,953,21.4,52356.0,16091.0,56
MO,Lathrop,4609,39.6,61894.0,26972.0,414
MO,Lawson,5401,40.8,65924.0,29830.0,551
MO,Leadwood,1458,30.3,31250.0,13344.0,363
MO,Leasburg,1680,34.2,35298.0,21804.0,192
MO,Lebanon,29517,39.8,42604.0,20509.0,5173
MO,Lees Summit,100734,38.1,86907.6,37974.0,5428
MO,Leeton,1323,42.1,51750.0,23306.0,196
MO,Lenox,225,50.0,115096.0,39455.0,33
MO,Lentner,52,63.2,67917.0,38160.0,6
MO,Leonard,191,34.8,56250.0,44932.0,10
MO,Leopold,649,43.8,57083.0,25237.0,50
MO,Leslie,2027,35.5,43922.0,22730.0,216
MO,Lesterville,513,49.2,58043.0,30451.0,29
MO,Lewistown,1350,45.5,44250.0,21601.0,183
MO,Lexington,5381,45.8,43243.0,28231.0,600
MO,Liberal,1456,42.0,37500.0,21684.0,223
MO,Liberty,37901,39.1,69996.0,32898.0,2696
MO,Licking,6227,42.8,35992.0,15799.0,1502
MO,Lilbourn,1640,39.7,25500.0,15308.0,481
MO,Lincoln,2730,48.4,27103.0,19138.0,733
MO,Linn,4841,39.3,45459.0,20964.0,546
MO,Linn Creek,3464,50.4,61964.0,27850.0,632
MO,Linneus,712,38.0,44861.0,21620.0,119
MO,Livonia,256,34.5,20938.0,12247.0,86
MO,Lock Springs,52,51.7,52500.0,17723.0,1
MO,Lockwood,2094,45.5,38920.0,22458.0,309
MO,Lohman,1593,42.2,73493.0,46405.0,110
MO,Lone Jack,3253,47.1,79653.0,33555.0,169
MO,Lonedell,2118,45.7,56045.0,23428.0,340
MO,Long Lane,1071,57.4,37344.0,17227.0,322
MO,Louisburg,782,34.7,36731.0,12724.0,156
MO,Louisiana,4409,43.9,40525.0,21836.0,494
MO,Lowry City,1614,55.4,31542.0,17928.0,459
MO,Lucerne,320,42.9,44750.0,24377.0,6
MO,Ludlow,287,39.4,42159.0,24966.0,50
MO,Luray,522,30.2,60179.0,20296.0,50
MO,Macks Creek,2298,43.7,42444.0,19921.0,422
MO,Macomb,315,49.9,28875.0,15499.0,55
MO,Macon,7864,41.7,38244.0,21129.0,1380
MO,Madison,1964,42.7,44107.0,21082.0,327
MO,Maitland,416,41.4,31765.0,19428.0,103
MO,Malden,6096,37.4,31565.0,18193.0,1148
MO,Malta Bend,643,42.1,45625.0,22848.0,89
MO,Mansfield,3442,42.7,32857.0,18330.0,687
MO,Marble Hill,5552,42.3,37938.0,19075.0,1301
MO,Marceline,3111,41.1,45993.0,23692.0,236
MO,Marionville,4123,37.8,41740.0,19965.0,816
MO,Marquand,1642,45.8,34967.0,20171.0,406
MO,Marshall,15798,35.2,42140.0,21290.0,2592
MO,Marshfield,15312,40.2,44420.0,21336.0,2354
MO,Marston,277,28.5,25208.0,13797.0,112
MO,Marthasville,5181,43.8,60549.0,25058.0,312
MO,Martinsburg,692,44.3,61875.0,28709.0,56
MO,Martinsville,255,49.3,50250.0,21043.0,33
MO,Maryland Heights,22496,37.7,66553.0,33105.0,2090
MO,Maryville,15800,24.9,39011.0,19448.0,3290
MO,Matthews,1061,46.7,34922.0,21997.0,272
MO,Maysville,2274,48.1,41161.0,27627.0,236
MO,Mayview,692,49.0,48313.0,22137.0,76
MO,Maywood,925,42.9,47390.0,19550.0,79
MO,McFall,248,40.7,50764.0,22254.0,37
MO,Meadville,928,36.9,57333.0,24606.0,58
MO,Memphis,3120,40.5,43333.0,23902.0,487
MO,Mendon,537,42.8,55625.0,27377.0,51
MO,Mercer,1044,43.3,36172.0,17317.0,192
MO,Meta,743,55.8,46058.0,33037.0,56
MO,Mexico,15033,40.9,43682.0,22906.0,2319
MO,Miami,239,53.5,53125.0,34680.0,47
MO,Middle Brook,395,44.5,50292.0,23760.0,86
MO,Middletown,1280,47.4,59107.0,25739.0,153
MO,Milan,4076,38.6,45068.0,20911.0,745
MO,Mill Spring,495,38.5,36638.0,16436.0,95
MO,Miller,2118,46.3,41474.0,23307.0,289
MO,Millersville,1131,50.9,42500.0,24411.0,124
MO,Milo,621,43.7,48438.0,23233.0,55
MO,Mindenmines,516,42.1,40750.0,20622.0,103
MO,Mineral Point,4133,40.9,34688.0,15139.0,712
MO,Missouri City,486,46.7,45577.0,19468.0,58
MO,Moberly,17438,37.7,42907.0,19177.0,2971
MO,Mokane,997,42.9,67386.0,24924.0,43
MO,Monett,13311,36.0,43685.0,21579.0,2913
MO,Monroe City,4287,45.5,43168.0,23074.0,518
MO,Montgomery City,4130,41.1,41117.0,22013.0,712
MO,Monticello,339,48.8,76500.0,32696.0,13
MO,Montreal,1822,35.6,48164.0,16637.0,453
MO,Montrose,977,50.7,50536.0,28149.0,115
MO,Mooresville,508,49.1,56736.0,24743.0,23
MO,Mora,610,18.9,47255.0,14445.0,33
MO,Morehouse,661,45.2,26518.0,15200.0,221
